"This month","","This month"
"This week","","This week"
"Today","","Today"
"1C Enterprise","","1C Enterprise"
"ABAP","","ABAP"
"ABNF","","ABNF"
"AGS Script","","AGS Script"
"AMPL","","AMPL"
"ANTLR","","ANTLR"
"API Blueprint","","API Blueprint"
"APL","","APL"
"ASN.1","","ASN.1"
"ASP","","ASP"
"ATS","","ATS"
"ActionScript","","ActionScript"
"Ada","","Ada"
"Adobe Font Metrics","","Adobe Font Metrics"
"Agda","","Agda"
"Alloy","","Alloy"
"Alpine Abuild","","Alpine Abuild"
"Altium Designer","","Altium Designer"
"AngelScript","","AngelScript"
"Ant Build System","","Ant Build System"
"ApacheConf","","ApacheConf"
"Apex","","Apex"
"Apollo Guidance Computer","","Apollo Guidance Computer"
"AppleScript","","AppleScript"
"Arc","","Arc"
"AsciiDoc","","AsciiDoc"
"AspectJ","","AspectJ"
"Assembly","","Assembly"
"Asymptote","","Asymptote"
"Augeas","","Augeas"
"AutoHotkey","","AutoHotkey"
"AutoIt","","AutoIt"
"Awk","","Awk"
"Ballerina","","Ballerina"
"Batchfile","","Batchfile"
"Befunge","","Befunge"
"Bison","","Bison"
"BitBake","","BitBake"
"Blade","","Blade"
"BlitzBasic","","BlitzBasic"
"BlitzMax","","BlitzMax"
"Bluespec","","Bluespec"
"Boo","","Boo"
"Brainfuck","","Brainfuck"
"Brightscript","","Brightscript"
"C","","C"
"C#","","C#"
"C++","","C++"
"C-ObjDump","","C-ObjDump"
"C2hs Haskell","","C2hs Haskell"
"CLIPS","","CLIPS"
"CMake","","CMake"
"COBOL","","COBOL"
"COLLADA","","COLLADA"
"CSON","","CSON"
"CSS","","CSS"
"CSV","","CSV"
"CWeb","","CWeb"
"Cabal Config","","Cabal Config"
"Cap'n Proto","","Cap'n Proto"
"CartoCSS","","CartoCSS"
"Ceylon","","Ceylon"
"Chapel","","Chapel"
"Charity","","Charity"
"ChucK","","ChucK"
"Cirru","","Cirru"
"Clarion","","Clarion"
"Clean","","Clean"
"Click","","Click"
"Clojure","","Clojure"
"Closure Templates","","Closure Templates"
"Cloud Firestore Security Rules","","Cloud Firestore Security Rules"
"CoNLL-U","","CoNLL-U"
"CoffeeScript","","CoffeeScript"
"ColdFusion","","ColdFusion"
"ColdFusion CFC","","ColdFusion CFC"
"Common Lisp","","Common Lisp"
"Common Workflow Language","","Common Workflow Language"
"Component Pascal","","Component Pascal"
"Cool","","Cool"
"Coq","","Coq"
"Cpp-ObjDump","","Cpp-ObjDump"
"Creole","","Creole"
"Crystal","","Crystal"
"Csound","","Csound"
"Csound Document","","Csound Document"
"Csound Score","","Csound Score"
"Cuda","","Cuda"
"Cycript","","Cycript"
"Cython","","Cython"
"D","","D"
"D-ObjDump","","D-ObjDump"
"DIGITAL Command Language","","DIGITAL Command Language"
"DM","","DM"
"DNS Zone","","DNS Zone"
"DTrace","","DTrace"
"Darcs Patch","","Darcs Patch"
"Dart","","Dart"
"DataWeave","","DataWeave"
"Dhall","","Dhall"
"Diff","","Diff"
"Dockerfile","","Dockerfile"
"Dogescript","","Dogescript"
"Dylan","","Dylan"
"E","","E"
"EBNF","","EBNF"
"ECL","","ECL"
"ECLiPSe","","ECLiPSe"
"EJS","","EJS"
"EML","","EML"
"EQ","","EQ"
"Eagle","","Eagle"
"Easybuild","","Easybuild"
"Ecere Projects","","Ecere Projects"
"Edje Data Collection","","Edje Data Collection"
"Eiffel","","Eiffel"
"Elixir","","Elixir"
"Elm","","Elm"
"Emacs Lisp","","Emacs Lisp"
"EmberScript","","EmberScript"
"Erlang","","Erlang"
"F#","","F#"
"F*","","F*"
"FIGlet Font","","FIGlet Font"
"FLUX","","FLUX"
"Factor","","Factor"
"Fancy","","Fancy"
"Fantom","","Fantom"
"Filebench WML","","Filebench WML"
"Filterscript","","Filterscript"
"Formatted","","Formatted"
"Forth","","Forth"
"Fortran","","Fortran"
"FreeMarker","","FreeMarker"
"Frege","","Frege"
"G-code","","G-code"
"GAML","","GAML"
"GAMS","","GAMS"
"GAP","","GAP"
"GCC Machine Description","","GCC Machine Description"
"GDB","","GDB"
"GDScript","","GDScript"
"GLSL","","GLSL"
"GN","","GN"
"Game Maker Language","","Game Maker Language"
"Genie","","Genie"
"Genshi","","Genshi"
"Gentoo Ebuild","","Gentoo Ebuild"
"Gentoo Eclass","","Gentoo Eclass"
"Gerber Image","","Gerber Image"
"Gettext Catalog","","Gettext Catalog"
"Gherkin","","Gherkin"
"Git Attributes","","Git Attributes"
"Git Config","","Git Config"
"Glyph","","Glyph"
"Glyph Bitmap Distribution Format","","Glyph Bitmap Distribution Format"
"Gnuplot","","Gnuplot"
"Go","","Go"
"Golo","","Golo"
"Gosu","","Gosu"
"Grace","","Grace"
"Gradle","","Gradle"
"Grammatical Framework","","Grammatical Framework"
"Graph Modeling Language","","Graph Modeling Language"
"GraphQL","","GraphQL"
"Graphviz (DOT)","","Graphviz (DOT)"
"Groovy","","Groovy"
"Groovy Server Pages","","Groovy Server Pages"
"HAProxy","","HAProxy"
"HCL","","HCL"
"HLSL","","HLSL"
"HTML","","HTML"
"HTML+Django","","HTML+Django"
"HTML+ECR","","HTML+ECR"
"HTML+EEX","","HTML+EEX"
"HTML+ERB","","HTML+ERB"
"HTML+PHP","","HTML+PHP"
"HTML+Razor","","HTML+Razor"
"HTTP","","HTTP"
"HXML","","HXML"
"Hack","","Hack"
"Haml","","Haml"
"Handlebars","","Handlebars"
"Harbour","","Harbour"
"Haskell","","Haskell"
"Haxe","","Haxe"
"HiveQL","","HiveQL"
"HolyC","","HolyC"
"Hy","","Hy"
"HyPhy","","HyPhy"
"IDL","","IDL"
"IGOR Pro","","IGOR Pro"
"INI","","INI"
"IRC log","","IRC log"
"Idris","","Idris"
"Inform 7","","Inform 7"
"Inno Setup","","Inno Setup"
"Io","","Io"
"Ioke","","Ioke"
"Isabelle","","Isabelle"
"Isabelle ROOT","","Isabelle ROOT"
"J","","J"
"JFlex","","JFlex"
"JSON","","JSON"
"JSON with Comments","","JSON with Comments"
"JSON5","","JSON5"
"JSONLD","","JSONLD"
"JSONiq","","JSONiq"
"JSX","","JSX"
"Jasmin","","Jasmin"
